排名,影片,票房（万元）,人次,累计票房  
1,你想活出怎样的人生,77579,19949418,7.76亿  
2,哥斯拉大战金刚2：帝国崛起,59885,14052942,9.16亿  
3,草木人间,12142,3176942,1.21亿  
4,我们一起摇太阳,11635,2801387,2.74亿  
5,功夫熊猫4,10470,2591294,3.51亿  
6,黄雀在后！,10076,2632108,1.01亿  
7,九龙城寨之围城,8056,1978884,8056万  
8,大“反”派,5698,1496259,5698万  
9,间谍过家家 代号：白,3632,916412,3632万  
10,周处除三害,2168,543929,6.65亿  
11,哈尔的移动城堡,1828,466164,1828万  
12,沙丘2,1653,321291,3.51亿  
13,坠落的审判,1465,348637,2808万  
14,熊出没·逆转时空,1455,371654,19.68亿  
15,年少日记,1419,361430,1419万  
