排名,影片,票房（万元）,人次,累计票房  
1,抓娃娃,83245,20236848,32.54亿  
2,异形：夺命舰,64194,15845591,6.42亿  
3,白蛇：浮生,39039,9443495,3.91亿  
4,逆行人生,34467,8268438,3.45亿  
5,重生,30462,7353367,3.05亿  
6,解密,26319,6236332,3.30亿  
7,名侦探柯南：百万美元的五棱星,24660,6516090,2.47亿  
8,死侍与金刚狼,18613,4283020,4.27亿  
9,逆鳞,13230,3202588,1.32亿  
10,刺猬,11990,2938939,1.20亿  
11,神偷奶爸4,10245,2629887,4.08亿  
12,默杀,8609,2133765,13.50亿  
13,从21世纪安全撤离,7833,1890895,1.11亿  
14,负负得正,6945,1528694,6945万  
15,姥姥的外孙,6844,1835322,6844万  
