排名,影片,票房（万元）,人次,累计票房  
1,年会不能停！,91048,23172818,11.42亿元  
2,金手指,36427,9032235,5.21亿元  
3,潜行,19129,4928772,3.78亿元  
4,临时劫案,18396,4813816,1.84亿元  
5,一闪一闪亮星星,14386,3721553,6.96亿元  
6,三大队,13201,3144587,6.92亿元  
7,海王2：失落的王国,10909,2785329,4.44亿元  
8,养蜂人,9771,2410569,9770万元  
9,动物园里有什么？,9104,2428080,9104万元  
10,非诚勿扰3,5630,1359350,9952万元  
11,泰勒·斯威夫特：时代巡回演唱会,5183,1085649,9195万元  
12,舒克贝塔·五角飞碟,3589,969689,5871万元  
13,天降大任,3060,712915,3074万元  
14,名侦探柯南：黑铁的鱼影,2250,684973,1.55亿元  
15,孤军,1968,414178,2162万元  
