排名,影片,票房（万元）,人次,累计票房  
1,好东西,37146,8817669,7.13亿  
2,小小的我,37137,9224989,3.71亿  
3,误杀3,29843,7101056,2.98亿  
4,误判,20826,5133907,2.08亿  
5,破·地狱,18065,4756111,1.81亿  
6,孤星计划,10205,2832074,1.02亿  
7,“骗骗”喜欢你,10156,2428757,1.02亿  
8,狮子王：木法沙传奇,8867,2178988,8867万  
9,海洋奇缘2,7421,1841187,1.06亿  
10,名侦探柯南：迷宫的十字路口,7166,1874770,7166万  
11,雄狮少年2,6742,1765402,6742万  
12,因果报应,6114,1599077,7753万  
13,好运来,4834,1301726,6268万  
14,张杰曜北斗巡回演唱会（舞台纪录电影）,4610,1081067,4610万  
15,蜡笔小新：我们的恐龙日记,3414,949237,1.27亿  
