排名,省区市,票房（万元）,场次,人次  
1,广东,36075,907945,8868358  
2,江苏,21962,659280,5753555  
3,浙江,17518,497388,4313925  
4,北京,16359,257679,3208035  
5,上海,14775,259887,2966110  
6,四川,14433,451505,3914483  
7,山东,12942,426227,3428023  
8,湖北,10657,312997,2925166  
9,河南,10010,401526,2726899  
10,辽宁,9151,233032,2400199  
11,湖南,8466,275487,2283771  
12,安徽,8443,280287,2280852  
13,福建,7721,238690,1977924  
14,河北,7485,278254,2000462  
15,陕西,7483,211179,1925252  
16,江西,6035,205698,1676954  
17,重庆,5960,201474,1588407  
18,广西,4668,165841,1263525  
19,山西,4624,159726,1230373  
20,天津,4191,98536,1026680  
21,内蒙古,3946,118884,1020795  
22,云南,3908,138643,998764  
23,黑龙江,3893,126952,1019933  
24,吉林,3781,104815,1008753  
25,甘肃,3107,99440,818190  
26,贵州,3076,110233,781510  
27,新疆,2574,88788,622971  
28,海南,2196,73227,566957  
29,宁夏,1459,37761,372618  
30,青海,926,23801,211899  
31,西藏,443,15041,98418  
