排名,影片,票房（万元）,人次,累计票房  
1,热辣滚烫,332855,68901537,33.29亿  
2,飞驰人生2,313798,64657088,31.38亿  
3,第二十条,215566,45832238,21.56亿  
4,熊出没·逆转时空,183547,39337456,18.36亿  
5,年会不能停！,15019,3912029,12.92亿  
6,我们一起摇太阳,9254,1847452,9254万  
7,红毯先生,8406,1607631,8406万  
8,金手指,5340,1360596,5.74亿  
9,临时劫案,5328,1395771,2.37亿  
10,海王2：失落的王国,2063,540969,4.65亿  
11,动物园里有什么？,1760,472344,1.09亿  
12,周处除三害,1745,436845,1745万  
13,养蜂人,1638,399460,1.14亿  
14,还是觉得你最好2,1401,351099,1401万  
15,阿盖尔：神秘特工,1388,311429,1388万  
