排名,省区市,票房（万元）,场次,人次  
1,广东,180543,1153809,39050023  
2,江苏,134332,886585,28333218  
3,山东,103520,628460,22084792  
4,浙江,102642,708395,21106091  
5,四川,101680,613394,22085701  
6,河南,96404,578576,20448396  
7,安徽,73431,395371,15237711  
8,湖北,66899,403405,14403512  
9,河北,65461,430394,13877426  
10,北京,61099,293122,10757545  
11,湖南,57296,384893,12406725  
12,福建,54975,320390,11534217  
13,上海,54402,302476,9714297  
14,江西,45811,279448,9890563  
15,辽宁,44224,304252,9538766  
16,陕西,43020,287477,9251788  
17,广西,40489,226460,9147983  
18,重庆,38191,252321,8373207  
19,山西,37400,237229,7970131  
20,云南,32898,200106,7077704  
21,贵州,29644,167415,6493501  
22,甘肃,22261,132289,4823122  
23,天津,20815,121163,4187125  
24,内蒙古,20584,165368,4340914  
25,黑龙江,20154,181778,4308383  
26,吉林,19465,145375,4161007  
27,海南,14765,91624,3021480  
28,新疆,12175,113420,2628969  
29,宁夏,7413,53173,1620162  
30,青海,5671,33081,1092011  
31,西藏,1511,15260,314030  
